polygon,year,peak,tier,payout_pct
hex_005_023,2019,107.80840324781008,0,0.0
hex_005_023,2020,218.48651064003508,1,20.0
hex_005_023,2021,101.47059427687277,0,0.0
hex_005_023,2022,123.24513139348063,0,0.0
hex_005_024,2008,120.97317243415863,0,0.0
hex_005_024,2009,90.30923143429061,0,0.0
hex_005_024,2010,94.30150465824951,0,0.0
hex_005_024,2011,189.0610788308001,1,20.0
hex_005_024,2012,207.69438073211245,1,20.0
hex_005_024,2013,64.00864289083415,0,0.0
hex_005_024,2014,153.8980183418716,0,0.0
hex_005_024,2015,87.90093940431045,0,0.0
hex_005_024,2016,116.06484843375353,0,0.0
hex_005_024,2017,187.81575536068942,1,20.0
hex_005_024,2018,147.1253395129078,0,0.0
hex_005_024,2019,91.92412872816126,0,0.0
hex_005_024,2020,217.42618288154404,2,50.0
hex_005_024,2021,101.47059427687277,0,0.0
hex_005_024,2022,117.32236442732315,0,0.0
hex_005_025,2008,116.30808519560429,0,0.0
hex_005_025,2009,87.36197843610412,0,0.0
hex_005_025,2010,94.84804002926168,0,0.0
hex_005_025,2011,206.79927445602914,1,20.0
hex_005_025,2012,190.7556283737305,1,20.0
hex_005_025,2013,67.0505079341059,0,0.0
hex_005_025,2014,166.6229040427506,0,0.0
hex_005_025,2015,80.87602695726686,0,0.0
hex_005_025,2016,118.01160213450474,0,0.0
hex_005_025,2017,184.7795324620356,1,20.0
hex_005_025,2018,158.53454385929638,0,0.0
hex_005_025,2019,89.53194394202696,0,0.0
hex_005_025,2020,204.27401469409466,1,20.0
hex_005_025,2021,97.49359539955026,0,0.0
hex_005_025,2022,115.83494004465226,0,0.0
hex_006_022,2008,115.55432471474839,0,0.0
hex_006_022,2009,88.44638992203606,0,0.0
hex_006_022,2010,82.22192926432938,0,0.0
hex_006_022,2011,184.3376362843563,1,20.0
hex_006_022,2012,176.90675531470114,0,0.0
hex_006_022,2013,60.8115124464242,0,0.0
hex_006_022,2014,160.71490401633912,0,0.0
hex_006_022,2015,98.21148910950042,0,0.0
hex_006_022,2016,125.70464728567663,0,0.0
hex_006_022,2017,167.14840943127044,0,0.0
hex_006_022,2018,156.36954163138236,0,0.0
hex_006_022,2019,95.62782858473973,0,0.0
hex_006_022,2020,207.81315815962023,1,20.0
hex_006_022,2021,90.06291261436624,0,0.0
hex_006_022,2022,123.5963287235962,0,0.0
hex_006_024,2008,120.97317243415863,0,0.0
hex_006_024,2009,86.11639743023449,0,0.0
hex_006_024,2010,78.33152216884825,0,0.0
hex_006_024,2011,192.5292566673168,1,20.0
hex_006_024,2012,179.0310372501322,1,20.0
hex_006_024,2013,74.21215508725494,0,0.0
hex_006_024,2014,146.69561862901267,0,0.0
hex_006_024,2015,71.89284976379325,0,0.0
hex_006_024,2016,131.4092771807494,0,0.0
hex_006_024,2017,155.27269190984882,0,0.0
hex_006_024,2018,144.04025520174454,0,0.0
hex_006_024,2019,86.17079439885914,0,0.0
hex_006_024,2020,217.72273721810845,2,50.0
hex_006_024,2021,98.4700831285533,0,0.0
hex_006_024,2022,120.69380068141552,0,0.0
hex_006_025,2008,120.97317243415863,0,0.0
hex_006_025,2009,86.11639743023449,0,0.0
hex_006_025,2010,80.2088244866497,0,0.0
