polygon,year,peak,tier,payout_pct
hex_006_024,2004,148.4245804769463,0,0.0
hex_006_024,2005,110.66393965512515,0,0.0
hex_006_024,2006,135.59723291593707,0,0.0
hex_006_024,2007,181.79833536437403,1,20.0
hex_006_025,1998,138.14461142440638,0,0.0
hex_006_025,1999,113.16956642294096,0,0.0
hex_006_025,2000,158.9843991569264,0,0.0
hex_006_025,2001,118.93685845389962,0,0.0
hex_006_025,2002,161.9899567691154,0,0.0
hex_006_025,2003,177.88219387567293,1,20.0
hex_006_025,2004,152.61674690397248,0,0.0
hex_006_025,2005,112.24951885402203,0,0.0
hex_006_025,2006,135.59723291593707,0,0.0
hex_006_025,2007,179.2270005864319,1,20.0
hex_007_020,1998,128.41569501273747,0,0.0
hex_007_020,1999,85.18011159792542,0,0.0
hex_007_020,2000,118.98693950079381,0,0.0
hex_007_020,2001,141.44246622975916,0,0.0
hex_007_020,2002,173.10744754325185,0,0.0
hex_007_020,2003,158.46330400046375,0,0.0
hex_007_020,2004,134.83035860486743,0,0.0
hex_007_020,2005,78.782637853788,0,0.0
hex_007_020,2006,102.1074982275317,0,0.0
hex_007_020,2007,156.69032823915282,0,0.0
hex_007_021,1998,106.01562860663152,0,0.0
hex_007_021,1999,100.90589635218598,0,0.0
hex_007_021,2000,116.4442491599669,0,0.0
hex_007_021,2001,152.2295483208034,0,0.0
hex_007_021,2002,178.35358730511948,0,0.0
hex_007_021,2003,193.30329702929905,1,20.0
hex_007_021,2004,141.73188532314782,0,0.0
hex_007_021,2005,94.17649996430096,0,0.0
hex_007_021,2006,120.80005844931635,0,0.0
hex_007_021,2007,185.28723099970983,0,0.0
hex_007_022,1998,122.17212903864682,0,0.0
hex_007_022,1999,111.40874024307563,0,0.0
hex_007_022,2000,117.61277585150467,0,0.0
hex_007_022,2001,152.2295483208034,0,0.0
hex_007_022,2002,181.1919000799954,0,0.0
hex_007_022,2003,193.77870345594982,1,20.0
hex_007_022,2004,141.73188532314782,0,0.0
hex_007_022,2005,97.71932302157911,0,0.0
hex_007_022,2006,127.24712825934093,0,0.0
hex_007_022,2007,201.9411689513301,1,20.0
hex_007_023,1998,134.71138808964855,0,0.0
hex_007_023,1999,122.95706958777374,0,0.0
hex_007_023,2000,132.80200298922756,0,0.0
hex_007_023,2001,136.46229825447418,0,0.0
hex_007_023,2002,164.31942590427067,0,0.0
hex_007_023,2003,195.8276933672486,1,20.0
hex_007_023,2004,128.65069191052268,0,0.0
hex_007_023,2005,111.55043601754225,0,0.0
hex_007_023,2006,135.00843072558442,0,0.0
hex_007_023,2007,196.76956299384435,1,20.0
hex_007_024,1998,139.66526727548904,0,0.0
hex_007_024,1999,122.95706958777374,0,0.0
hex_007_024,2000,143.79573127379848,0,0.0
hex_007_024,2001,130.8726373965707,0,0.0
hex_007_024,2002,159.1010347395887,0,0.0
hex_007_024,2003,190.5212579004508,1,20.0
hex_007_024,2004,134.0893981271858,0,0.0
hex_007_024,2005,117.12662515208125,0,0.0
hex_007_024,2006,135.00843072558442,0,0.0
hex_007_024,2007,198.41352721852562,1,20.0
hex_007_025,1998,141.36886964810805,0,0.0
hex_007_025,1999,108.38803257308072,0,0.0
hex_007_025,2000,155.1531268253881,0,0.0
hex_007_025,2001,124.08322845029335,0,0.0
hex_007_025,2002,153.0746437147922,0,0.0
hex_007_025,2003,161.60545302676658,0,0.0
hex_007_025,2004,147.57851362818232,0,0.0
hex_007_025,2005,131.84829164210294,0,0.0
hex_007_025,2006,142.51796381046375,0,0.0
hex_007_025,2007,190.72458151792074,1,20.0
hex_008_019,1998,134.0127755144735,0,0.0
hex_008_019,1999,90.2849153341146,0,0.0
hex_008_019,2000,84.05725939172424,0,0.0
hex_008_019,2001,128.57070619574853,0,0.0
hex_008_019,2002,159.42385125011205,1,20.0
hex_008_019,2003,148.3670710936313,0,0.0
