polygon,year,peak_anomaly,tier,payout_pct,thresholds,payout_eur
hex_014_011,2023,173.15,2,50.0,143.0;166.3;183.6,125000.0
hex_014_012,2023,179.61,1,20.0,156.5;185.5;207.0,50000.0
hex_014_013,2023,173.39,1,20.0,158.1;187.8;209.8,50000.0
hex_015_000,2023,102.88,0,0.0,146.6;169.8;186.9,0.0
hex_015_001,2023,121.28,0,0.0,146.4;169.7;187.0,0.0
hex_015_002,2023,112.98,0,0.0,150.2;174.3;192.1,0.0
hex_015_003,2023,109.63,0,0.0,146.7;169.1;185.7,0.0
hex_015_004,2023,108.28,0,0.0,144.4;166.6;183.0,0.0
hex_015_005,2023,114.26,0,0.0,144.0;166.2;182.7,0.0
hex_015_006,2023,134.18,0,0.0,152.4;178.5;197.8,0.0
hex_015_007,2023,167.79,1,20.0,154.4;181.7;201.9,50000.0
hex_015_008,2023,180.23,1,20.0,154.0;181.3;201.5,50000.0
hex_015_009,2023,183.08,2,50.0,147.8;172.7;191.3,125000.0
hex_015_010,2023,182.57,3,100.0,137.8;159.1;174.8,250000.0
hex_015_011,2023,175.44,2,50.0,138.9;160.1;175.8,125000.0
hex_015_012,2023,175.34,2,50.0,143.8;167.3;184.7,125000.0
hex_015_013,2023,190.42,2,50.0,154.0;181.3;201.6,125000.0
hex_016_000,2023,101.9,0,0.0,143.0;165.7;182.5,0.0
hex_016_001,2023,109.08,0,0.0,143.6;166.8;184.0,0.0
hex_016_002,2023,116.44,0,0.0,143.5;166.0;182.7,0.0
hex_016_003,2023,110.27,0,0.0,146.9;169.4;186.2,0.0
hex_016_004,2023,112.48,0,0.0,143.4;164.9;180.9,0.0
hex_016_005,2023,107.39,0,0.0,137.3;157.2;171.9,0.0
hex_016_006,2023,107.39,0,0.0,138.2;159.5;175.3,0.0
hex_016_007,2023,126.98,0,0.0,142.8;166.0;183.2,0.0
hex_016_008,2023,147.1,0,0.0,147.6;173.6;192.9,0.0
hex_016_009,2023,165.13,1,20.0,149.9;176.8;196.8,50000.0
hex_016_010,2023,209.01,3,100.0,138.2;159.9;176.0,250000.0
hex_016_011,2023,210.7,3,100.0,134.8;154.5;169.2,250000.0
hex_016_012,2023,195.23,3,100.0,138.3;159.1;174.4,250000.0
hex_016_013,2023,195.05,3,100.0,145.1;168.9;186.6,250000.0
hex_017_000,2023,136.71,0,0.0,140.3;163.2;180.2,0.0
hex_017_001,2023,136.71,0,0.0,141.9;165.2;182.5,0.0
hex_017_002,2023,128.71,0,0.0,143.5;165.7;182.2,0.0
hex_017_003,2023,97.31,0,0.0,144.1;165.8;181.8,0.0
hex_017_004,2023,95.44,0,0.0,143.8;166.0;182.5,0.0
hex_017_005,2023,109.41,0,0.0,143.9;167.4;184.9,0.0
hex_017_006,2023,115.05,0,0.0,147.3;172.1;190.5,0.0
hex_017_007,2023,136.56,0,0.0,140.3;162.7;179.3,0.0
hex_017_008,2023,150.32,1,20.0,145.1;169.8;188.2,50000.0
hex_017_009,2023,178.62,2,50.0,142.8;167.1;185.1,125000.0
hex_017_010,2023,209.01,3,100.0,136.7;157.5;172.9,250000.0
hex_017_018,2023,178.9,2,50.0,147.7;175.5;196.1,125000.0
hex_018_000,2023,141.7,1,20.0,141.0;164.8;182.5,50000.0
hex_018_001,2023,143.26,1,20.0,139.3;162.2;179.3,50000.0
hex_018_002,2023,136.05,0,0.0,140.8;162.9;179.4,0.0
hex_018_003,2023,108.93,0,0.0,142.1;163.1;178.6,0.0
hex_018_004,2023,108.93,0,0.0,145.1;167.7;184.5,0.0
hex_018_005,2023,108.07,0,0.0,145.6;169.8;187.8,0.0
hex_018_006,2023,112.46,0,0.0,144.1;168.0;185.7,0.0
hex_018_007,2023,112.22,0,0.0,142.8;166.2;183.5,0.0
hex_018_008,2023,125.38,0,0.0,142.4;165.3;182.3,0.0
hex_018_009,2023,142.29,0,0.0,142.6;166.4;184.0,0.0
hex_018_010,2023,158.54,1,20.0,139.2;160.4;176.0,50000.0
hex_018_011,2023,185.65,3,100.0,139.0;158.1;172.2,250000.0
hex_018_012,2023,200.67,3,100.0,147.2;169.0;185.2,250000.0
