polygon,time,value,spatial_std,n_cells
Bagerhat,2011-01-01,0.3713657259941101,0.28464850783348083,7
Bagerhat,2012-01-01,-0.46454960107803345,0.23094995319843292,7
Bagerhat,2013-01-01,0.7673301100730896,0.21755942702293396,7
Bagerhat,2014-01-01,-0.29822659492492676,0.11215101182460785,7
Bagerhat,2015-01-01,0.500157356262207,0.14941389858722687,7
Bagerhat,2016-01-01,-0.07626815885305405,0.23483207821846008,7
Bagerhat,2017-01-01,0.9177474975585938,0.1438567340373993,7
Bagerhat,2018-01-01,-0.8528477549552917,0.16575399041175842,7
Bagerhat,2019-01-01,0.17652007937431335,0.2893979847431183,7
Bagerhat,2020-01-01,-1.041229009628296,0.11317025125026703,7
Bagerhat,2021-01-01,0.45415621995925903,0.2904490530490875,7
Bandarban,2011-01-01,0.5926432609558105,0.4195634722709656,8
Bandarban,2012-01-01,-0.6673746109008789,0.26017817854881287,8
Bandarban,2013-01-01,0.8483558893203735,0.08195539563894272,8
Bandarban,2014-01-01,-0.33885833621025085,0.3624376654624939,8
Bandarban,2015-01-01,-0.11041425168514252,0.2809172570705414,8
Bandarban,2016-01-01,-0.14387522637844086,0.22532834112644196,8
Bandarban,2017-01-01,0.5434473752975464,0.09769240021705627,8
Bandarban,2018-01-01,-0.9785361289978027,0.2640620470046997,8
Bandarban,2019-01-01,0.42034655809402466,0.20192499458789825,8
Bandarban,2020-01-01,-0.1657351553440094,0.3467801809310913,8
Bandarban,2021-01-01,0.19392438232898712,0.2805993854999542,8
Barguna,2011-01-01,0.395477294921875,0.16425172984600067,2
Barguna,2012-01-01,-0.5074029564857483,0.06067796051502228,2
Barguna,2013-01-01,0.9785894155502319,0.08510962128639221,2
Barguna,2014-01-01,-0.48733651638031006,0.18447808921337128,2
Barguna,2015-01-01,-0.03462562337517738,0.026921771466732025,2
Barguna,2016-01-01,-0.47488731145858765,0.14243458211421967,2
Barguna,2017-01-01,1.2827904224395752,0.03453254699707031,2
Barguna,2018-01-01,-0.7296532392501831,0.02628922462463379,2
Barguna,2019-01-01,0.391549676656723,0.17829135060310364,2
Barguna,2020-01-01,-0.8145010471343994,0.027481883764266968,2
Barguna,2021-01-01,0.2337777018547058,0.0588829442858696,2
Barisal,2011-01-01,-0.12936097383499146,0.34041666984558105,6
Barisal,2012-01-01,-0.20869679749011993,0.3034093379974365,6
Barisal,2013-01-01,0.8711557984352112,0.07805105298757553,6
Barisal,2014-01-01,-0.041104864329099655,0.36542317271232605,6
Barisal,2015-01-01,-0.09524267166852951,0.45692363381385803,6
Barisal,2016-01-01,-0.21072332561016083,0.08660176396369934,6
Barisal,2017-01-01,0.68277907371521,0.4085578918457031,6
Barisal,2018-01-01,-0.8063778877258301,0.36834338307380676,6
Barisal,2019-01-01,0.5393653512001038,0.23141057789325714,6
Barisal,2020-01-01,-0.6017953157424927,0.2636815309524536,6
Barisal,2021-01-01,-0.3862105906009674,0.45003217458724976,6
Bhola,2011-01-01,-0.05964784324169159,0.25225430727005005,2
Bhola,2012-01-01,-0.2485976219177246,0.13371506333351135,2
Bhola,2013-01-01,0.8812053799629211,0.05807006359100342,2
Bhola,2014-01-01,0.15380506217479706,0.020786553621292114,2
Bhola,2015-01-01,-0.20034272968769073,0.07503406703472137,2
Bhola,2016-01-01,-0.13558614253997803,0.011978156864643097,2
Bhola,2017-01-01,0.4090220630168915,0.0626576840877533,2
Bhola,2018-01-01,-0.2596930265426636,0.0983026772737503,2
Bhola,2019-01-01,0.4593309462070465,0.13536062836647034,2
Bhola,2020-01-01,-0.9994971752166748,0.09066978096961975,2
Bhola,2021-01-01,-0.0456165187060833,0.13220834732055664,2
Bogra,2011-01-01,-0.047185227274894714,0.1211208775639534,6
Bogra,2012-01-01,-0.259196013212204,0.1898932307958603,6
Bogra,2013-01-01,0.0059255934320390224,0.1305086314678192,6
Bogra,2014-01-01,-0.41592589020729065,0.13988839089870453,6
Bogra,2015-01-01,-0.7860725522041321,0.1938527524471283,6
Bogra,2016-01-01,-0.5427336096763611,0.1970580816268921,6
Bogra,2017-01-01,0.9824015498161316,0.14120469987392426,6
Bogra,2018-01-01,-0.35902678966522217,0.07065503299236298,6
Bogra,2019-01-01,0.7683259844779968,0.06072212755680084,6
Bogra,2020-01-01,0.6534865498542786,0.08300968259572983,6
Bogra,2021-01-01,-0.05673950910568237,0.18512429296970367,6
Brahamanbaria,2011-01-01,-0.45553070306777954,0.18380123376846313,4
Brahamanbaria,2012-01-01,-0.3485853374004364,0.263571560382843,4
Brahamanbaria,2013-01-01,0.4142664670944214,0.0697861835360527,4
Brahamanbaria,2014-01-01,0.3064769506454468,0.1190931499004364,4
Brahamanbaria,2015-01-01,-0.7552420496940613,0.2519783675670624,4
Brahamanbaria,2016-01-01,-0.131541445851326,0.1695399433374405,4
Brahamanbaria,2017-01-01,1.6592837572097778,0.09403353929519653,4
Brahamanbaria,2018-01-01,-1.059969186782837,0.2165512591600418,4
Brahamanbaria,2019-01-01,0.24369847774505615,0.17048999667167664,4
Brahamanbaria,2020-01-01,0.12714189291000366,0.3166540861129761,4
Brahamanbaria,2021-01-01,0.011928685009479523,0.40314850211143494,4
Chandpur,2011-01-01,-0.22429566085338593,0.1611689329147339,3
Chandpur,2012-01-01,-0.6396988034248352,0.08004423975944519,3
Chandpur,2013-01-01,0.11974791437387466,0.06905034184455872,3
Chandpur,2014-01-01,0.4006424844264984,0.13773229718208313,3
Chandpur,2015-01-01,-0.7692363262176514,0.17965589463710785,3
Chandpur,2016-01-01,-0.1654224842786789,0.05177624523639679,3
Chandpur,2017-01-01,1.6465392112731934,0.135102778673172,3
Chandpur,2018-01-01,-0.917811930179596,0.16089878976345062,3
Chandpur,2019-01-01,0.4495612680912018,0.08897572755813599,3
Chandpur,2020-01-01,0.09997574239969254,0.10768052190542221,3
Chandpur,2021-01-01,0.5278781056404114,0.26626649498939514,3
Chittagong,2011-01-01,0.5053061246871948,0.4775595963001251,8
Chittagong,2012-01-01,-0.6841870546340942,0.42170390486717224,8
Chittagong,2013-01-01,0.5984793901443481,0.24329259991645813,8
Chittagong,2014-01-01,0.07371082156896591,0.16910816729068756,8
Chittagong,2015-01-01,-0.3177460730075836,0.09049758315086365,8
Chittagong,2016-01-01,-0.27519911527633667,0.27940940856933594,8
Chittagong,2017-01-01,0.552342414855957,0.227900430560112,8
Chittagong,2018-01-01,-0.9705429077148438,0.4153209924697876,8
Chittagong,2019-01-01,0.7352912425994873,0.19596710801124573,8
Chittagong,2020-01-01,-0.21745656430721283,0.31431499123573303,8
Chittagong,2021-01-01,0.6736104488372803,0.2240816205739975,8
Chuadanga,2011-01-01,-0.11827001720666885,0.12191551923751831,2
Chuadanga,2012-01-01,-0.6828842163085938,0.16597405076026917,2
Chuadanga,2013-01-01,0.8765048980712891,0.3519535958766937,2
Chuadanga,2014-01-01,-0.01865270733833313,0.3797069787979126,2
Chuadanga,2015-01-01,-1.0602704286575317,0.2519284188747406,2
Chuadanga,2016-01-01,0.4609881043434143,0.26454758644104004,2
Chuadanga,2017-01-01,1.1293851137161255,0.328069806098938,2
Chuadanga,2018-01-01,-0.9141632914543152,0.07077908515930176,2
Chuadanga,2019-01-01,0.3809202313423157,0.053753241896629333,2
Chuadanga,2020-01-01,-0.05355578288435936,0.09956707060337067,2
Chuadanga,2021-01-01,0.4936521649360657,0.036919236183166504,2
Comilla,2011-01-01,-0.4981299042701721,0.11562705039978027,7
Comilla,2012-01-01,-0.41028037667274475,0.29989054799079895,7
Comilla,2013-01-01,0.14096274971961975,0.302927166223526,7
Comilla,2014-01-01,0.4217599332332611,0.24671463668346405,7
Comilla,2015-01-01,-0.48650020360946655,0.26845234632492065,7
Comilla,2016-01-01,0.048506446182727814,0.20302791893482208,7
Comilla,2017-01-01,1.500456690788269,0.4100794196128845,7
Comilla,2018-01-01,-1.1023480892181396,0.2882072329521179,7
Comilla,2019-01-01,0.4754714071750641,0.13076065480709076,7
Comilla,2020-01-01,-0.08989840745925903,0.15500114858150482,7
Comilla,2021-01-01,0.9030583500862122,0.545315146446228,7
Cox's Bazar,2011-01-01,0.32102808356285095,0.11375156790018082,3
Cox's Bazar,2012-01-01,-0.5708661079406738,0.160787895321846,3
Cox's Bazar,2013-01-01,0.7662286162376404,0.2305224984884262,3
Cox's Bazar,2014-01-01,-0.8403183817863464,0.2504243552684784,3
Cox's Bazar,2015-01-01,0.3193354308605194,0.2633523941040039,3
Cox's Bazar,2016-01-01,-0.19430148601531982,0.3421434164047241,3
Cox's Bazar,2017-01-01,0.4459734857082367,0.17363038659095764,3
