polygon,year,value,spatial_std,n_cells,payout_fraction
Bagerhat,2020,-1.041229009628296,0.11317025125026703,7,0.027
Khulna,2020,-1.1793911457061768,0.2129654735326767,10,0.12
Kishoreganj,2021,-1.0451951026916504,0.35444778203964233,6,0.03
Maulvibazar,2021,-1.0921547412872314,0.38606101274490356,5,0.061
Netrakona,2021,-1.516784906387329,0.25107190012931824,5,0.345
Satkhira,2020,-1.2438327074050903,0.23669017851352692,4,0.163
Sunamganj,2021,-1.3223615884780884,0.38951376080513,7,0.215
Sylhet,2021,-1.0324337482452393,0.17747153341770172,7,0.022
