polygon,time,value,spatial_std,n_cells
hex_003_004,2023-01-08,65.77993774414062,3.184401512145996,5
hex_004_004,2023-01-08,53.666011810302734,3.0269131660461426,4
hex_004_005,2023-01-08,57.94101333618164,4.0096235275268555,5
hex_004_006,2023-01-08,63.484989166259766,6.82822847366333,5
hex_005_004,2023-01-08,46.989837646484375,2.873685836791992,6
hex_005_005,2023-01-08,58.89374923706055,5.397426605224609,6
hex_005_006,2023-01-08,59.74093246459961,2.5764856338500977,6
hex_006_004,2023-01-08,46.235084533691406,2.7278788089752197,6
hex_006_005,2023-01-08,45.91054153442383,2.7637767791748047,6
hex_006_006,2023-01-08,51.749996185302734,1.9395893812179565,7
hex_006_007,2023-01-08,53.30170822143555,2.424849271774292,6
hex_006_008,2023-01-08,47.13646697998047,6.032749176025391,7
hex_007_003,2023-01-08,52.488311767578125,3.9389266967773438,6
hex_007_004,2023-01-08,42.28532409667969,2.4033894538879395,6
hex_007_005,2023-01-08,48.351707458496094,4.4023919105529785,7
hex_007_006,2023-01-08,51.150146484375,1.720725178718567,7
hex_007_007,2023-01-08,65.30792236328125,9.3770170211792,7
hex_007_008,2023-01-08,63.55443572998047,10.264251708984375,6
hex_008_003,2023-01-08,65.1000747680664,3.927616834640503,6
hex_008_004,2023-01-08,52.101593017578125,3.917473554611206,6
hex_008_005,2023-01-08,44.45639419555664,1.6635651588439941,6
hex_008_006,2023-01-08,49.585693359375,1.9385989904403687,7
hex_008_007,2023-01-08,53.066162109375,1.4283822774887085,7
hex_008_008,2023-01-08,72.87714385986328,7.760371685028076,7
hex_008_009,2023-01-08,72.87714385986328,14.100522994995117,7
hex_009_004,2023-01-08,60.13498306274414,6.245921611785889,6
hex_009_005,2023-01-08,51.9097900390625,2.9974758625030518,7
hex_009_006,2023-01-08,48.48998260498047,2.0989022254943848,6
hex_009_007,2023-01-08,49.445068359375,3.0336482524871826,7
hex_009_008,2023-01-08,72.87714385986328,10.51570987701416,7
hex_009_009,2023-01-08,66.54132843017578,12.0589599609375,6
hex_010_005,2023-01-08,65.50790405273438,3.4693167209625244,5
hex_010_006,2023-01-08,56.53954315185547,3.3390557765960693,5
hex_010_007,2023-01-08,52.58568572998047,1.6618901491165161,6
hex_010_008,2023-01-08,50.13881301879883,5.852097988128662,7
hex_010_009,2023-01-08,66.54132843017578,12.155315399169922,7
hex_010_010,2023-01-08,65.7878646850586,11.784028053283691,6
hex_011_006,2023-01-08,53.22288513183594,1.7785959243774414,5
hex_011_007,2023-01-08,51.07045364379883,3.114806652069092,8
hex_011_008,2023-01-08,46.32914352416992,2.494619131088257,7
hex_011_009,2023-01-08,71.5534896850586,9.591302871704102,7
hex_011_010,2023-01-08,71.5534896850586,10.426201820373535,5
hex_012_009,2023-01-08,52.1348762512207,4.348806381225586,7
